marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Hyundai,HB20S,,44470,,2015
Volkswagen,GOL,,,,2012
Fiat,PALIO,,,,2015
Ford,KA,,,,2017
Fiat,BRAVO,,,,2015
Volkswagen,POLO SEDAN,93805,30930,,2011
Volkswagen,GOL,94827,23212,,2014
Volkswagen,Fox,132195,38085,32752,2014
Citroen,C4 ,77926,55130,48500,2016
Nissan,March,42572,33978,31203,2018
Renault,SANDERO,38210,37805,34514,2018
Fiat,UNO,100,34225,29428,2014
Jeep,RENEGADE ,45260,59369,54120,2015
Ford,KA SEDAN,36230,42912,38623,2018
Fiat,PALIO ,134390,29606,24500,2014
Ford,KA ,117000,37960,32536,2017
Fiat,Palio,44137,25905,23439,2017
Chevrolet,PRISMA ,130083,48021,43511,2018
Ford,KA,41418,37960,33931,2018
Ford,ECOSPORT ,54053,62043,55000,2017
Fiat,PUNTO,99878,33373,28402,2014
Fiat,ARGO ,115631,41473,36799,2017
Renault,Fluence,49082,46704,44408,2015
Renault,LOGAN,129559,39640,34266,2017
Ford,KA SEDAN,56475,42154,37000,2017
Jeep,Renegade,36242,68108,67403,2018
Chevrolet,Onix,61687,42576,38995,2018
Fiat,MOBI,84712,32302,27686,2017
Renault,Sandero,74715,40589,37147,2015
Volkswagen,VOYAGE,69382,40301,36000,2017
Chevrolet,PRISMA ,29586,57477,51400,2019
Ford,Ecosport,74359,48320,44020,2014
Fiat,Grand Siena,114330,36374,34318,2015
Fiat,Grand Siena,97391,35879,33125,2014
Ford,KA SEDAN,164586,42154,32000,2017
Chevrolet,Onix,74564,36791,34998,2015
Ford,Ecosport,62614,47023,46106,2014
Jac,T40,8492,62784,55360,2019
Volkswagen,Gol,53634,41394,37020,2018
Chevrolet,Onix,81856,34414,32368,2014
Chevrolet,Onix,105673,34414,32399,2014
Chevrolet,ONIX ,108553,37247,31000,2017
Fiat,Grand Siena,101187,37439,33115,2016
Renault,FLUENCE,170615,42164,,2014
Volkswagen,VOYAGE,206246,36011,,2014
Renault,Logan,76250,35508,33842,2017
Renault,LOGAN,104835,40173,32159,2017
Renault,LOGAN,115119,41864,33245,2016
Renault,SANDERO,54319,40986,35776,2018
Audi,Q3,77215,84565,81119,2012
Hyundai,HB20S,77838,52864,47935,2016
Toyota,ETIOS,79275,49162,45202,2018
Ford,NEW FIESTA SEDAN,98859,40936,32727,2013
Volkswagen,GOL,109315,27067,22796,2013
Ford,KA,65413,46483,38418,2018
Peugeot,208,52445,36587,28992,2014
Honda,CITY,188257,56307,54039,2015
Renault,FLUENCE,111465,51340,42162,2015
Volkswagen,CROSSFOX,96151,50531,46794,2015
Fiat,PUNTO,68100,41699,35665,2015
Fiat,UNO,118974,38178,29724,2015
Fiat,PALIO,57878,30248,26465,2015
Ford,KA,73955,42413,35104,2017
Jeep,RENEGADE,62413,73025,68774,2017
Volkswagen,GOL,119996,34572,29826,2014
Renault,DUSTER,95460,42367,39143,2012
Renault,KWID,7254,47711,45834,2019
Volkswagen,FOX,85784,32919,26579,2012
Fiat,GRAND SIENA,80888,32796,26992,2012
Ford,KA,102815,38595,34051,2018
Nissan,VERSA,76261,35668,31781,2013
Chevrolet,PRISMA,77501,41921,34863,2016
Fiat,SIENA,150878,31631,23000,2014
Ford,KA,9089,45105,41407,2020
Fiat,UNO,27972,35727,32698,2016
Fiat,UNO,78295,25285,20757,2015
Citroen,C3,77289,37706,33552,2017
Renault,SANDERO,102642,36662,29863,2017
Fiat,PALIO,46926,26683,20100,2016
Fiat,PALIO,42245,26683,20900,2016
Renault,FLUENCE,109107,48094,39336,2015
Volkswagen,GOL,111204,26099,20489,2012
Volkswagen,VIRTUS,76138,71636,61021,2018
Hyundai,HB20,49440,45440,41440,2018
Fiat,UNO,132599,35700,29631,2017
Renault,KWID,61626,35411,30795,2018
Fiat,UNO,107872,34306,26000,2017
Jeep,RENEGADE,66643,63517,55258,2016
Renault,SANDERO,114562,36662,27896,2017
Volkswagen,GOL,71326,35487,29700,2015
Chevrolet,ONIX,115190,34765,29331,2013
Nissan,VERSA,194656,42778,31600,2017
Renault,SANDERO,80064,37525,29720,2016
Ford,FIESTA,77241,45718,39500,2017
BMW,X1,75638,88920,74408,2014
Ford,KA SEDAN,122509,39230,34699,2016
Volkswagen,VIRTUS,74110,68815,63262,2018
Renault,KWID,19628,37621,34821,2018
Fiat,PALIO,72559,26683,19700,2016
Volkswagen,FOX,88109,45923,40871,2017
Ford,FOCUS,123190,61730,52000,2017
Chevrolet,PRISMA,51718,42516,40078,2017
Citroen,C3,42300,42076,36668,2016
Toyota,COROLLA,232541,74755,62289,2016
Renault,KWID,3760,30459,31936,2018
Fiat,STRADA,19149,69823,64223,2019
Nissan,VERSA,30085,50505,42210,2019
Toyota,ETIOS,108331,40976,36300,2014
Fiat,DOBLO,143308,52704,41961,2017
Fiat,TORO,26297,122739,111512,2018
Renault,KWID,23608,41584,37800,2019
Fiat,PUNTO,42447,40787,36300,2016
Nissan,VERSA,24259,50505,45430,2019
Renault,SANDERO,58547,40248,37241,2018
Ford,KA,71442,42598,37655,2018
Renault,SANDERO,73947,27413,23842,2014
Fiat,SIENA,125712,31275,24835,2012
Chevrolet,S10,81385,74964,73463,2014
Peugeot,3008,94749,41611,33987,2012
Fiat,UNO,88050,31160,27006,2015
Kia,PICANTO,48590,33874,26900,2015
Volkswagen,VIRTUS,27567,64489,59700,2019
Ford,ECOSPORT,73740,54652,52193,2016
Chevrolet,COBALT,124346,33327,30328,2012
Lifan,X60,92285,34974,,2013
Chevrolet,CELTA,112185,26855,,2014
Chevrolet,S10,154223,95788,,2012
Fiat,PALIO,74817,34424,,2015
Hyundai,HB20,115063,35806,,2013
Volkswagen,NOVO FOX,98943,38520,,2014
Jeep,RENEGADE,78987,66421,,2015
Volkswagen,VOYAGE,107052,37400,,2014
Fiat,SIENA,113211,29381,,2014
Volkswagen,VOYAGE,96397,48427,,2018
Fiat,ARGO,56840,47431,,2018
Fiat,UNO,123017,24828,,2015
Volkswagen,VOYAGE,235613,36154,,2015
Ford,FIESTA HATCH ****,123068,36645,27845,2013
Volkswagen,FOX,133336,45625,41434,2016
Ford,FIESTA SEDAN ,52566,41256,33348,2015
